iteration,fuseTest,fuseResult
1401,1,4092.03
1403,0,54.0381
1403,1,4091.47
1405,0,55.0588
1405,1,4092.07
1407,0,53.8868
1407,1,4092.33
1409,0,53.911
1409,1,4093.82
1411,0,52.6113
1411,1,4092.75
1413,0,53.3425
1413,1,4092.34
1415,0,53.9237
1415,1,4091.76
1417,0,53.3729
1417,1,4092.53
1419,0,55.2006
1419,1,4093.36
1421,0,54.6012
1421,1,4091.74
1423,0,55.9308
1423,1,4093.27
1425,0,53.6644
1425,1,4093.97
1427,0,53.1108
1427,1,4093.58
1429,0,54.6908
1429,1,4092.01
1431,0,55.7761
1431,1,4093.52
1433,0,56.9802
1433,1,4091.05
1435,0,54.0006
1435,1,4093.19
1437,0,56.0485
1437,1,4092.01
1439,0,54.5894
1439,1,4091.48
1441,0,53.6596
1441,1,4092.33
1443,0,52.5938
1443,1,4092.4
1445,0,54.5314
1445,1,4092.65
1447,0,52.478
1447,1,4092.66
1449,0,54.7023
1449,1,4092.29
1451,0,56.2928
1451,1,4093.53
1453,0,55.7963
1453,1,4093.98
1455,0,56.0779
1455,1,4091.08
1457,0,53.3533
1457,1,4094.63
1459,0,52.2347
1459,1,4092.12
1461,0,54.4958
1461,1,4092.28
1463,0,54.1109
1463,1,4094.46
1465,0,54.5268
1465,1,4094.33
1467,0,53.6634
1467,1,4092.4
1469,0,53.5652
1469,1,4091.87
1471,0,53.1963
1471,1,4091.51
1473,0,53.7909
1473,1,4094.63
1475,0,52.6269
1475,1,4093.07
1477,0,56.0284
1477,1,4091.97
1479,0,56.2417
1479,1,4094.13
1481,0,54.4654
1481,1,4092.09
1483,0,55.2992
1483,1,4091.32
1485,0,51.2601
1485,1,4092
1487,0,54.7125
1487,1,4092.02
1489,0,54.6156
1489,1,4091.98
1491,0,54.3909
1491,1,4093.55
1493,0,53.934
1493,1,4091.96
1495,0,54.5888
1495,1,4091.99
1497,0,54.0042
1497,1,4092.77
1499,0,54.7053
1499,1,4092.19
1501,0,54.6993
