iteration,silhouetteCluster1,silhouetteCluster2,numPointsCluster1,numPointsCluster2,overallSilhouette
933,0.999711,0.999695,50,50,0.999703
935,0.999716,0.999695,50,50,0.999705
937,0.999717,0.999699,50,50,0.999708
939,0.999715,0.99971,50,50,0.999713
941,0.999724,0.999713,50,50,0.999719
943,0.999707,0.999705,50,50,0.999706
945,0.999709,0.999707,50,50,0.999708
947,0.99971,0.999707,50,50,0.999709
949,0.999716,0.99971,50,50,0.999713
951,0.999707,0.999708,50,50,0.999707
953,0.999724,0.999705,50,50,0.999715
955,0.99972,0.999707,50,50,0.999714
957,0.999719,0.999707,50,50,0.999713
959,0.999717,0.999706,50,50,0.999712
961,0.999714,0.999713,50,50,0.999713
963,0.999716,0.999714,50,50,0.999715
965,0.999717,0.999713,50,50,0.999715
967,0.999717,0.999714,50,50,0.999716
969,0.999727,0.999707,50,50,0.999717
971,0.999714,0.999708,50,50,0.999711
973,0.999714,0.99971,50,50,0.999712
975,0.999714,0.99971,50,50,0.999712
977,0.999715,0.999716,50,50,0.999715
979,0.999719,0.999723,50,50,0.999721
981,0.999713,0.999726,50,50,0.999719
983,0.999714,0.999731,50,50,0.999723
985,0.999709,0.999734,50,50,0.999721
987,0.999708,0.999743,50,50,0.999725
989,0.999696,0.999739,50,50,0.999717
991,0.999681,0.999737,50,50,0.999709
993,0.999681,0.999741,50,50,0.999711
995,0.999682,0.99974,50,50,0.999711
997,0.999685,0.999736,50,50,0.999711
999,0.999676,0.999741,50,50,0.999709
1001,0.999678,0.999738,50,50,0.999708
1003,0.999674,0.999728,50,50,0.999701
1005,0.999664,0.999727,50,50,0.999696
1007,0.999657,0.999731,50,50,0.999694
1009,0.999643,0.999727,50,50,0.999685
1011,0.999644,0.999728,50,50,0.999686
1013,0.999636,0.999726,50,50,0.999681
1015,0.999644,0.999731,50,50,0.999687
1017,0.999642,0.999727,50,50,0.999685
1019,0.999646,0.999733,50,50,0.99969
1021,0.999636,0.999742,50,50,0.999689
1023,0.999637,0.99973,50,50,0.999683
1025,0.999635,0.999737,50,50,0.999686
1027,0.999637,0.999733,50,50,0.999685
1029,0.999639,0.999729,50,50,0.999684
1031,0.999643,0.999728,50,50,0.999685
1033,0.999647,0.999727,50,50,0.999687
1035,0.999639,0.999717,50,50,0.999678
1037,0.999632,0.999717,50,50,0.999675
1039,0.999634,0.99972,50,50,0.999677
1041,0.999629,0.999724,50,50,0.999676
1043,0.999635,0.99973,50,50,0.999683
1045,0.999628,0.999725,50,50,0.999677
1047,0.999625,0.999732,50,50,0.999678
1049,0.999627,0.999736,50,50,0.999681
1051,0.99963,0.999735,50,50,0.999683
1053,0.999628,0.999733,50,50,0.99968
1055,0.999626,0.999732,50,50,0.999679
1057,0.999621,0.999738,50,50,0.99968
1059,0.999623,0.999735,50,50,0.999679
1061,0.999625,0.999733,50,50,0.999679
1063,0.999625,0.999733,50,50,0.999679
1065,0.999623,0.999739,50,50,0.999681
1067,0.999622,0.999746,50,50,0.999684
1069,0.999623,0.99975,50,50,0.999687
1071,0.999635,0.999748,50,50,0.999691
1073,0.999625,0.999745,50,50,0.999685
1075,0.999621,0.999742,50,50,0.999681
1077,0.999621,0.999745,50,50,0.999683
1079,0.999619,0.999755,50,50,0.999687
1081,0.999631,0.999752,50,50,0.999691
1083,0.99963,0.999749,50,50,0.99969
1085,0.999629,0.999731,50,50,0.99968
1087,0.999622,0.999733,50,50,0.999677
1089,0.99963,0.999734,50,50,0.999682
1091,0.999644,0.999732,50,50,0.999688
1093,0.999644,0.999737,50,50,0.999691
1095,0.999645,0.999737,50,50,0.999691
1097,0.999634,0.999739,50,50,0.999686
1099,0.999626,0.999739,50,50,0.999683
